run,gradient_C_per_km,flow_kg_per_s,plant_cost_USD_per_kW,drilling_factor,fixed_charge_rate,productivity_index_kg_s_bar,num_fractures,fracture_height_m,doublets,LCOE_USD_per_MWh
131,60.70593775746404,74.84344520918984,2204.5616165512083,1.3060029127950024,0.05176877827462072,9.883276868139866,75,925.3488203032256,4,46.5
132,58.35493903422786,86.78277690258956,2591.1097285558585,1.3238270114425907,0.047190872449580396,7.8831581258109615,59,800.0035916053786,6,50.6
133,62.0926861925582,80.54993490222056,2306.6117669955356,1.1687997144742877,0.05084625806089107,11.524400665640147,63,1053.530078372635,4,43.6
134,55.9007647289443,78.85143183977343,2104.6916401649632,1.1983636624597018,0.0658127632865256,10.789712164034302,76,968.9901871970593,5,55.4
135,60.585510462904416,87.49831982463428,2618.8669515296333,1.2398736218777135,0.06171432413671634,9.178107244373916,57,996.1556680402457,5,54.0
136,63.100100377769145,77.93878575231223,2722.9390617407275,1.0504538343025975,0.0642282398849444,11.993436428587646,77,884.6013698325114,5,55.1
137,59.51746749321612,73.65420680160692,2391.891223418431,1.3130907811908208,0.04863358494072929,11.547930731235455,45,970.1180225128585,4,48.0
138,66.35141398071735,72.18556678357538,2359.1851902704248,1.0489838147694663,0.07220717197038369,8.41608299892898,49,1023.2272069437122,3,56.2
139,63.03519356563296,85.57378193164143,2305.7271455079313,1.2373257646774076,0.06035361042976547,11.923524102777847,39,857.6241755971241,4,48.9
140,53.407150943548615,78.2461702898953,2083.581770246952,1.3528726197262322,0.05794286778839466,9.296847556420056,62,956.7024255308093,3,59.1
141,60.32246264528261,77.56634366206296,2279.9475496879786,1.2559830896997872,0.052196883703349066,8.814632662066048,86,1107.426909328035,4,46.9
142,65.79833918234007,82.33430415556369,2275.2890504515967,1.3122279826344165,0.052948147298368727,10.127558385196295,58,864.2667963191085,4,42.9
143,58.43701337613345,76.636491107737,2612.557091389528,1.2569159899415356,0.05002963483451249,11.994549093575518,70,918.6910845684773,4,51.1
144,66.45021804531898,79.31050867200027,2304.578987462872,1.1022215583244268,0.06971757158193922,8.991737782559827,55,1024.4636825021528,4,51.4
145,57.63192548217647,86.97124791432373,2271.2412020033776,1.424803414797203,0.05832523815637936,9.76900270852504,57,773.1940176184152,4,53.0
146,65.61997124884341,74.72084115417097,2596.1696991087265,1.149994225293572,0.05618240216360237,12.480568083035001,42,849.6126864859207,5,49.3
147,60.521773572811654,76.17793766195726,2205.537443435262,1.1971628839047073,0.054433729829423246,11.67971604311321,52,838.4613645803242,5,46.2
148,52.64687621199043,83.13425351475365,2464.5319780224772,1.0375747945403497,0.04898223868424325,10.530350149929205,58,943.7415178455979,3,52.5
149,54.7308442836688,72.92521951578793,2250.723513215793,1.2265200099281677,0.047738412537309406,9.831701415369277,38,1028.1403631715662,4,50.1
150,56.55996393092312,74.18329828701044,2319.8124299860488,1.4184588941047465,0.04641399597413083,9.034894766555029,55,833.0503474136069,4,49.6
151,57.73221978887841,79.41876578142498,2431.647754172279,1.2977591094178842,0.066466953794278,9.673795278174019,91,1028.74117262655,4,60.8
152,56.243776573121245,82.44205140397304,2565.812699891804,1.1814298733856952,0.04757497782651647,10.393940740465657,78,828.0883667086307,4,48.9
153,61.92178833564086,71.56199371633548,2545.0564954758515,1.2063555293458945,0.0661854458820385,10.283224030281033,83,854.4615897563574,6,57.1
